"I Wish I Was More Surprised By What A Slandered Poet Revealed, But I'm Not.",1
"Try Not To Get Upset When You Listen To This One Question.",1
"My Confidence In The Next Generation Is Stronger Than Ever After Hearing The Third Question.",1
"You Will Dig Your Fingernails Into Your Desk When You See What A Queer Science Teacher Found.",1
"What This Unstoppable Senator Did Is Genius.",1
"Here Is What Happens When A Tween Won't Give Up.",1
"You Will Dig Your Fingernails Into Your Desk When You See What An Angry Former Klansman Made.",1
"I Wish I Was More Disgusted By What A Disgraced City Councilman Proved, But I'm Not.",1
"Before You Say We're Winning The War On Terror, Listen To The First Word And The Last Word From A Man.",1
"Listen To These Six Words And Try To Tell Me Things Used To Be Better When You Were A Kid.",1
"Watch An Inspiring Criminal Become A Hero With Five Words.",1
"You Won't Believe The Shocking One Minute Video This Extroverted Child Star Came Up With.",1
"That Moment When A Trailblazer Doesn't Worry About What Anyone Thinks.",1
"What This Angry Music Teacher Did Is Genius.",1
"If You Can Watch This And Not Feel Depressed, Then You Are Stronger Than I Am.",1
"You Will Do A Double Take When You See What A Forgotten Music Teacher Delighted The Internet With.",1
"Some Call It The Answer To All Our Prayers. They Call It A Disaster.",1
"Try Not To Rage When You Hear These Two Sentences.",1
"Watch A Transgender Teacher Become An Inspiration With Ten Words.",1
"Try Not To Let Your Jaw Hit The Floor When You Hear These Twelve Words.",1
"You Need To See The Heartwrenching Fifty Second Video This Extroverted Criminologist Created.",1
"You Will Roll Your Eyes When You See What A Fearless Actor Created.",1
"What This Unstoppable Holocaust Survivor Did Is Genius.",1
"Before You Say Things Used To Be Better When You Were A Kid, Listen To The First Word And The Second Sentence From An Actress.",1
"Listen To These Five Words And Try To Tell Me We're Winning The War On Terror.",1
"I'll Never Look At This Disgraced Mother Of Three The Same Way Again.",1
"Some Call It The Solution To World Peace. They Call It A Homophobic Nightmare.",1
"You Can't Imagine The Pioneering Music Video This Autistic Millennial Delighted The Internet With.",1
"You Will Shout With Rage When You See What An Angry Actress Delighted The Internet With.",1
"I Thought It Was The Worst-case Scenario. But Then I Saw This Mindblowing Fifty Second Video.",1
"You Should Really Think About Watching The Saddening Music Video This Bullied Criminologist Found.",1
"Before You Say Babies Can't Be Homophobic, Listen To This Battlecry From A Former Klansman.",1
"Before You Say You Have Job Security, Listen To The Fifth And Seventh Words From A Mayor.",1
"If You Can Watch This And Not Feel Disgusted, Then You're Made Of Stone.",1
